Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,282,-1.0,,
Existants,J2,351,351,0,158,350.0,0.0,
Existants,J3,130,130,0,106,129.0,0.0,
Existants,J4,0,0,0,171,-1.0,,
Existants,J5,201,201,0,302,200.0,0.0,
Existants,J6,229,229,0,147,228.0,0.0,
Existants,J7,478,478,0,200,477.0,0.0,
Existants,J8,23,23,0,134,22.0,0.0,
Existants,J9,22,22,0,161,21.0,0.0,
Existants,J10,124,124,0,207,123.0,0.0,
Existants,J11,517,517,0,285,516.0,0.0,
Existants,J12,337,337,0,257,336.0,0.0,
Existants,J13,0,0,0,164,-1.0,,
